Sample Date,Location,Site #,Chlorophyll A,Copper,Dissolved Oxygen,Salinity,Specific Conductance,Total Nitrogen,Total Phosphorus,Turbidity
11/14/07,#2 HILLSBORO LOCK,2.0,1.97,,5.31,0.31,637.0,,,
8/4/08,#2 HILLSBORO LOCK,2.0,8.38,,2.44,0.31,637.0,0.668,0.027,
11/6/18,#2 HILLSBORO LOCK,2.0,8.15,,6.95,0.3,626.0,,0.073,1.2
2/18/14,#2 HILLSBORO LOCK,2.0,9.52,,7.57,0.34,702.0,,,1.3
11/29/06,#2 HILLSBORO LOCK,2.0,10.7,,7.03,0.33,672.0,1.45,0.079,
11/16/21,#2 HILLSBORO LOCK,2.0,7.51,,5.07,0.29,591.0,1.12,0.142,0.9
11/26/12,#2 HILLSBORO LOCK,2.0,4.45,,5.32,0.308,634.0,1.27,0.125,
8/6/13,#2 HILLSBORO LOCK,2.0,2.07,,4.42,0.22,467.0,1.296,0.064,2.4
11/18/19,#2 HILLSBORO LOCK,2.0,5.04,,4.57,0.28,580.0,1.1736,0.076,1.1
8/23/16,#2 HILLSBORO LOCK,2.0,1.8,,3.19,0.34,701.0,1.33,0.047,0.75
5/31/06,#2 HILLSBORO LOCK,2.0,26.1,,8.18,0.36,737.0,1.28,0.112,
2/20/08,#2 HILLSBORO LOCK,2.0,13.4,,8.18,0.25,521.0,1.3,0.27,
5/28/19,#2 HILLSBORO LOCK,2.0,8.42,,6.28,0.31,642.0,0.9736,0.124,1.4
6/22/09,#2 HILLSBORO LOCK,2.0,6.04,,3.36,0.28,590.0,1.24,0.144,
5/25/21,#2 HILLSBORO LOCK,2.0,2.96,,,,,0.964,0.028,0.7
6/26/18,#2 HILLSBORO LOCK,2.0,5.23,,3.8,0.21,443.0,1.32,0.051,1.6
5/20/20,#2 HILLSBORO LOCK,2.0,4.52,,5.27,0.26,532.0,1.21,0.03,0.0
5/20/14,#2 HILLSBORO LOCK,2.0,8.47,,7.01,0.3,630.0,,,1.45
5/2/17,#2 HILLSBORO LOCK,2.0,6.54,,7.43,0.24,494.0,,0.05,1.1
6/7/16,#2 HILLSBORO LOCK,2.0,2.73,,5.69,0.28,577.0,1.513,0.013,1.5
5/14/13,#2 HILLSBORO LOCK,2.0,10.1,,3.68,0.288,599.0,1.439,0.12,1.7
5/14/07,#2 HILLSBORO LOCK,2.0,12.4,,6.95,0.23,484.0,0.998,0.039,
7/11/17,#2 HILLSBORO LOCK,2.0,4.19,,2.63,0.25,526.0,,0.025,1.2
5/12/08,#2 HILLSBORO LOCK,2.0,21.8,,7.01,0.33,676.0,1.34,0.099,
7/30/12,#2 HILLSBORO LOCK,2.0,15.6,,5.13,0.272,570.0,1.23,0.149,
4/29/10,#2 HILLSBORO LOCK,2.0,5.5,,4.14,0.2,424.0,1.18,0.071,
2/19/07,#2 HILLSBORO LOCK,2.0,12.8,,7.91,0.29,587.0,1.14,0.101,
8/1/11,#2 HILLSBORO LOCK,2.0,5.56,,6.08,0.33,692.0,1.0,0.024,
8/12/14,#2 HILLSBORO LOCK,2.0,2.28,,3.96,0.33,691.0,,,1.7
3/7/17,#2 HILLSBORO LOCK,2.0,1.82,,8.43,0.33,678.0,,,0.65
8/2/10,#2 HILLSBORO LOCK,2.0,25.5,,3.17,0.29,598.0,0.954,0.086,
3/2/09,#2 HILLSBORO LOCK,2.0,10.8,,8.64,0.22,459.0,1.19,,
3/11/19,#2 HILLSBORO LOCK,2.0,6.76,,5.43,0.29,591.0,0.5961,0.142,2.0
3/10/15,#2 HILLSBORO LOCK,2.0,0.78,,6.2,0.29,595.0,,,3.6
3/1/16,#2 HILLSBORO LOCK,2.0,2.01,,7.15,0.25,525.0,,0.036,3.1
8/22/07,#2 HILLSBORO LOCK,2.0,26.1,,4.52,0.32,669.0,1.38,0.143,
2/27/18,#2 HILLSBORO LOCK,2.0,12.0,,7.45,0.32,658.0,,,1.5
2/26/20,#2 HILLSBORO LOCK,2.0,3.36,,4.36,3.25,5460.0,0.739,0.086,0.85
2/24/21,#2 HILLSBORO LOCK,2.0,4.33,,5.66,0.32,657.0,0.856,0.041,0.5
6/2/15,#2 HILLSBORO LOCK,2.0,8.31,,7.18,0.34,701.0,,,3.2
2/22/06,#2 HILLSBORO LOCK,2.0,22.8,,10.1,0.4,806.0,1.58,0.052,
8/23/06,#2 HILLSBORO LOCK,2.0,37.2,,11.2,0.29,611.0,1.6,0.133,
4/11/11,#2 HILLSBORO LOCK,2.0,4.92,,6.45,0.2,428.0,0.89,0.028,
10/25/10,#2 HILLSBORO LOCK,2.0,2.95,,5.39,0.3,632.0,1.22,0.097,
4/23/12,#2 HILLSBORO LOCK,2.0,7.22,,4.04,0.35,724.0,1.68,0.082,
1/31/11,#2 HILLSBORO LOCK,2.0,5.26,,7.64,0.29,603.0,1.27,0.032,
1/30/12,#2 HILLSBORO LOCK,2.0,4.2,,6.21,0.36,746.0,1.16,0.032,
10/24/11,#2 HILLSBORO LOCK,2.0,25.7,,5.35,0.28,581.0,1.43,0.201,
10/22/13,#2 HILLSBORO LOCK,2.0,4.55,,4.27,0.35,728.0,1.5,0.1,0.9
11/16/21,#3 HILLSBORO CANAL US 441,3.0,10.4,,2.49,0.35,727.0,1.36,0.185,0.85
10/22/13,#3 HILLSBORO CANAL US 441,3.0,12.8,,5.78,0.38,778.0,1.633,0.065,1.4
8/12/14,#3 HILLSBORO CANAL US 441,3.0,3.24,,3.71,0.35,721.0,,,8.4
5/14/13,#3 HILLSBORO CANAL US 441,3.0,13.5,,3.04,0.33,674.0,1.529,0.073,2.1
11/17/15,#3 HILLSBORO CANAL US 441,3.0,8.4,,4.01,0.3,624.0,1.37,0.157,5.0
2/19/07,#3 HILLSBORO CANAL US 441,3.0,2.66,,5.83,0.28,566.0,1.23,0.052,0.8
6/26/18,#3 HILLSBORO CANAL US 441,3.0,3.77,,4.0,0.21,444.0,1.28,0.042,1.5
11/18/19,#3 HILLSBORO CANAL US 441,3.0,6.07,,3.46,0.28,574.0,1.1297,0.062,1.2
2/18/14,#3 HILLSBORO CANAL US 441,3.0,4.95,,4.13,0.37,755.0,,,0.9
1/30/12,#3 HILLSBORO CANAL US 441,3.0,1.91,,4.85,0.36,735.0,1.29,0.028,0.95
10/24/11,#3 HILLSBORO CANAL US 441,3.0,11.2,,3.6,0.3,616.0,1.49,0.17,1.3
11/26/12,#3 HILLSBORO CANAL US 441,3.0,6.3,,4.02,0.303,624.0,1.28,0.112,0.9
2/12/13,#3 HILLSBORO CANAL US 441,3.0,1.87,,3.7,0.257,533.0,1.48,0.039,0.65
8/31/09,#3 HILLSBORO CANAL US 441,3.0,16.6,,2.15,0.32,669.0,1.57,0.213,2.5
3/10/15,#3 HILLSBORO CANAL US 441,3.0,0.97,,6.41,0.27,568.0,,,1.2
8/2/10,#3 HILLSBORO CANAL US 441,3.0,19.1,,2.27,0.31,640.0,1.32,0.111,2.1
5/2/17,#3 HILLSBORO CANAL US 441,3.0,9.03,,5.4,0.29,607.0,,0.096,1.0
11/29/06,#3 HILLSBORO CANAL US 441,3.0,11.7,,4.88,0.35,711.0,1.49,0.055,1.2
3/1/16,#3 HILLSBORO CANAL US 441,3.0,2.14,,7.72,0.25,510.0,,0.013,0.85
3/7/17,#3 HILLSBORO CANAL US 441,3.0,1.38,,8.07,0.36,743.0,,,0.7
9/21/20,#3 HILLSBORO CANAL US 441,3.0,5.11,,2.03,0.22,583.0,1.17,0.18,1.1
5/14/07,#3 HILLSBORO CANAL US 441,3.0,17.7,,5.75,0.28,575.0,1.04,0.055,1.0
7/30/12,#3 HILLSBORO CANAL US 441,3.0,21.0,,4.32,0.319,665.0,1.33,0.169,1.9
4/23/12,#3 HILLSBORO CANAL US 441,3.0,13.7,,4.45,0.35,727.0,1.58,0.095,2.0
8/23/06,#3 HILLSBORO CANAL US 441,3.0,,,5.17,0.35,731.0,1.66,0.112,3.2
4/11/11,#3 HILLSBORO CANAL US 441,3.0,10.8,,7.86,0.29,600.0,1.23,0.083,1.3
2/22/06,#3 HILLSBORO CANAL US 441,3.0,12.0,,4.61,0.38,769.0,1.49,0.107,1.9
11/14/07,#3 HILLSBORO CANAL US 441,3.0,14.0,,3.44,0.34,701.0,,,2.0
10/28/14,#3 HILLSBORO CANAL US 441,3.0,2.46,,2.19,0.38,776.0,,,1.2
2/26/20,#3 HILLSBORO CANAL US 441,3.0,20.7,,5.3,0.32,662.0,1.422,0.184,1.8
7/11/17,#3 HILLSBORO CANAL US 441,3.0,4.72,,3.11,0.23,478.0,,0.019,1.0
1/31/11,#3 HILLSBORO CANAL US 441,3.0,2.33,,4.03,0.34,689.0,1.62,0.02,0.6
8/1/11,#3 HILLSBORO CANAL US 441,3.0,33.2,,5.63,0.4,834.0,1.6,0.056,2.8
8/29/18,#3 HILLSBORO CANAL US 441,3.0,5.27,,2.81,0.31,637.0,1.794,0.082,0.6
4/29/10,#3 HILLSBORO CANAL US 441,3.0,14.2,,4.61,0.22,464.0,1.34,0.077,
2/20/08,#3 HILLSBORO CANAL US 441,3.0,30.1,,7.01,0.3,611.0,1.56,0.167,3.0
5/12/08,#3 HILLSBORO CANAL US 441,3.0,10.0,,3.29,0.22,461.0,1.32,0.08,1.9
2/27/18,#3 HILLSBORO CANAL US 441,3.0,6.95,,4.32,0.23,472.0,,,1.4
8/23/16,#3 HILLSBORO CANAL US 441,3.0,1.83,,2.92,0.33,695.0,1.4,0.048,0.85
8/4/08,#3 HILLSBORO CANAL US 441,3.0,11.9,,1.76,0.32,666.0,1.58,0.257,2.3
6/7/16,#3 HILLSBORO CANAL US 441,3.0,2.82,,5.15,0.28,583.0,1.551,0.011,1.2
6/22/09,#3 HILLSBORO CANAL US 441,3.0,7.88,,1.8,0.32,659.0,1.35,0.109,1.4
2/1/10,#3 HILLSBORO CANAL US 441,3.0,3.79,,1.84,0.35,712.0,1.42,0.084,0.7
2/24/21,#3 HILLSBORO CANAL US 441,3.0,12.7,,4.61,0.33,680.0,1.15,0.126,1.0
12/6/16,#3 HILLSBORO CANAL US 441,3.0,0.847,,5.46,0.38,778.0,1.22,0.035,0.5
5/20/14,#3 HILLSBORO CANAL US 441,3.0,13.5,,6.33,0.31,635.0,,,4.3
9/9/19,#3 HILLSBORO CANAL US 441,3.0,9.77,,2.12,0.29,605.0,1.3565,0.068,1.4
12/17/15,#3 HILLSBORO CANAL US 441,3.0,,,3.59,0.29,609.0,1.32,0.103,
3/11/19,#3 HILLSBORO CANAL US 441,3.0,22.9,,4.04,0.32,666.0,0.2511,0.162,4.2
3/2/09,#3 HILLSBORO CANAL US 441,3.0,1.49,,6.91,0.2,413.0,1.37,,1.0
5/25/21,#3 HILLSBORO CANAL US 441,3.0,3.66,,,,,1.08,0.038,0.45
12/8/20,#3 HILLSBORO CANAL US 441,3.0,3.33,,4.38,0.27,561.0,1.1995,0.123,2.0
8/22/07,#3 HILLSBORO CANAL US 441,3.0,29.2,,3.98,0.33,688.0,1.53,0.187,2.5
5/28/19,#3 HILLSBORO CANAL US 441,3.0,19.1,,5.33,0.34,697.0,1.2165,0.171,3.0
10/26/09,#3 HILLSBORO CANAL US 441,3.0,27.8,,4.57,0.36,737.0,1.65,0.06,1.8
5/31/06,#3 HILLSBORO CANAL US 441,3.0,,,5.7,0.4,818.0,1.68,0.108,3.8
10/25/10,#3 HILLSBORO CANAL US 441,3.0,7.04,,2.98,0.35,715.0,1.53,0.045,1.0
11/6/18,#3 HILLSBORO CANAL US 441,3.0,4.93,,2.56,0.36,752.0,1.553,0.055,0.55
6/2/15,#3 HILLSBORO CANAL US 441,3.0,5.53,,5.27,0.31,638.0,,,0.7
8/6/13,#3 HILLSBORO CANAL US 441,3.0,2.76,,4.18,0.21,444.0,1.249,0.059,2.0
8/25/15,#3 HILLSBORO CANAL US 441,3.0,12.9,,3.37,0.34,716.0,1.385,0.229,1.2
5/20/20,#3 HILLSBORO CANAL US 441,3.0,16.2,,5.1,0.27,565.0,1.14,0.08,0.0
8/25/21,#3 HILLSBORO CANAL US 441,3.0,12.5,,2.28,0.34,715.0,1.27,0.12,1.1
9/21/20,#4 HILLSBORO CANAL SE GROWERS,4.0,9.5,,3.52,0.36,744.0,1.49,0.003,2.9
3/7/17,#4 HILLSBORO CANAL SE GROWERS,4.0,1.37,,7.52,0.3,758.0,,,0.8
8/23/16,#4 HILLSBORO CANAL SE GROWERS,4.0,2.31,,4.17,0.34,713.0,1.47,0.015,0.6
6/7/16,#4 HILLSBORO CANAL SE GROWERS,4.0,3.42,,5.69,0.28,588.0,1.593,0.002,0.85
3/2/09,#4 HILLSBORO CANAL SE GROWERS,4.0,0.775,,8.274999999999999,0.16,328.5,1.0705,,0.95
8/25/15,#4 HILLSBORO CANAL SE GROWERS,4.0,10.3,,4.3,0.37,764.0,1.502,0.038,1.3
5/12/08,#4 HILLSBORO CANAL SE GROWERS,4.0,13.7,,4.245,0.27,564.0,1.5350000000000001,0.0295,2.1
2/27/18,#4 HILLSBORO CANAL SE GROWERS,4.0,2.18,,4.32,0.21,428.0,,,9.6
5/31/06,#4 HILLSBORO CANAL SE GROWERS,4.0,25.25,,7.880000000000001,0.38,817.0,1.735,0.031,3.2
6/2/15,#4 HILLSBORO CANAL SE GROWERS,4.0,3.56,,6.07,0.21,442.0,,,0.7
5/20/20,#4 HILLSBORO CANAL SE GROWERS,4.0,4.8,,4.75,0.32,660.0,1.54,0.015,0.0
1/30/12,#4 HILLSBORO CANAL SE GROWERS,4.0,2.19,,7.29,0.35,721.0,1.4,0.015,0.55
2/20/08,#4 HILLSBORO CANAL SE GROWERS,4.0,7.075,,2.71,0.38,779.0,1.995,0.024,1.4
7/30/12,#4 HILLSBORO CANAL SE GROWERS,4.0,12.85,,4.205,0.29,613.0,1.3450000000000002,0.0225,1.3
2/24/21,#4 HILLSBORO CANAL SE GROWERS,4.0,2.98,,4.25,0.38,782.0,1.67,-0.002,0.6
9/9/19,#4 HILLSBORO CANAL SE GROWERS,4.0,12.5,,4.19,0.34,716.0,1.5725,0.025,4.5
4/23/12,#4 HILLSBORO CANAL SE GROWERS,4.0,17.75,,6.39,0.34,694.0,1.32,0.026000000000000002,2.1
5/28/19,#4 HILLSBORO CANAL SE GROWERS,4.0,20.9,,7.66,0.38,782.0,1.3908,0.024,4.5
4/11/11,#4 HILLSBORO CANAL SE GROWERS,4.0,3.0,,6.449999999999999,0.26,545.0,1.53,0.026000000000000002,0.7
2/22/06,#4 HILLSBORO CANAL SE GROWERS,4.0,5.28,,6.93,0.48,979.0,2.38,0.015,1.7
8/23/06,#4 HILLSBORO CANAL SE GROWERS,4.0,24.799999999999997,,5.745,0.46499999999999997,947.5,2.5149999999999997,0.031,2.8
8/29/18,#4 HILLSBORO CANAL SE GROWERS,4.0,6.54,,2.75,0.31,638.0,,0.029,2.7
10/24/11,#4 HILLSBORO CANAL SE GROWERS,4.0,7.300000000000001,,4.11,0.34,694.5,1.63,0.0195,1.1
5/25/21,#4 HILLSBORO CANAL SE GROWERS,4.0,1.78,,,,,1.02,0.012,0.45
10/28/14,#4 HILLSBORO CANAL SE GROWERS,4.0,4.25,,3.23,0.35,722.0,,,2.8
2/26/20,#4 HILLSBORO CANAL SE GROWERS,4.0,11.0,,6.78,0.41,843.0,1.532,0.025,2.5
7/11/17,#4 HILLSBORO CANAL SE GROWERS,4.0,9.52,,3.97,0.23,480.0,,0.006,0.7
11/14/07,#4 HILLSBORO CANAL SE GROWERS,4.0,5.65,,2.08,0.37,758.0,,,1.4
10/25/10,#4 HILLSBORO CANAL SE GROWERS,4.0,2.76,,4.135,0.38,786.5,1.725,0.0133,0.8
8/1/11,#4 HILLSBORO CANAL SE GROWERS,4.0,9.43,,4.405,0.415,860.5,1.5550000000000002,0.0175,1.1
5/14/07,#4 HILLSBORO CANAL SE GROWERS,4.0,18.0,,7.465,0.27,568.5,1.7349999999999999,0.0315,2.8
4/29/10,#4 HILLSBORO CANAL SE GROWERS,4.0,8.184999999999999,,6.21,0.3,620.5,1.15,0.025500000000000002,2.0
8/4/08,#4 HILLSBORO CANAL SE GROWERS,4.0,14.05,,2.655,0.32,664.0,1.705,0.015,1.9
1/31/11,#4 HILLSBORO CANAL SE GROWERS,4.0,1.775,,5.125,0.4,808.5,1.855,0.0095,0.6
3/1/16,#4 HILLSBORO CANAL SE GROWERS,4.0,1.89,,7.97,0.25,508.0,,0.012,0.55
3/10/15,#4 HILLSBORO CANAL SE GROWERS,4.0,1.3,,7.41,0.26,541.0,,,0.8
2/1/10,#4 HILLSBORO CANAL SE GROWERS,4.0,5.045,,3.2350000000000003,0.33,676.5,1.57,0.0245,0.8
5/20/14,#4 HILLSBORO CANAL SE GROWERS,4.0,4.66,,6.5,0.35,716.0,,,1.1
8/2/10,#4 HILLSBORO CANAL SE GROWERS,4.0,15.05,,1.615,0.3,626.5,1.52,0.026500000000000003,1.7
8/22/07,#4 HILLSBORO CANAL SE GROWERS,4.0,24.45,,4.955,0.37,770.0,1.91,0.029500000000000002,2.4
11/6/18,#4 HILLSBORO CANAL SE GROWERS,4.0,13.4,,3.51,0.42,862.0,,0.036,2.3
2/18/14,#4 HILLSBORO CANAL SE GROWERS,4.0,3.45,,3.97,0.43,874.0,,,0.8
11/18/19,#4 HILLSBORO CANAL SE GROWERS,4.0,12.6,,4.89,0.43,884.0,1.5853,0.033,2.0
8/25/21,#4 HILLSBORO CANAL SE GROWERS,4.0,5.44,,2.72,0.38,777.0,1.42,0.052,0.95
3/11/19,#4 HILLSBORO CANAL SE GROWERS,4.0,35.7,,6.56,0.47,952.0,0.2904,0.038,5.1
5/2/17,#4 HILLSBORO CANAL SE GROWERS,4.0,9.5,,5.33,0.33,688.0,,0.035,1.1
8/6/13,#4 HILLSBORO CANAL SE GROWERS,4.0,4.72,,3.95,0.25,533.0,1.224,0.025,1.1
6/26/18,#4 HILLSBORO CANAL SE GROWERS,4.0,7.44,,4.7,0.2,412.0,1.478,0.025,2.0
8/31/09,#4 HILLSBORO CANAL SE GROWERS,4.0,11.649999999999999,,1.97,0.4,818.5,1.935,0.023,1.4
11/26/12,#4 HILLSBORO CANAL SE GROWERS,4.0,1.8849999999999998,,3.2199999999999998,0.36,738.0,2.01,0.0215,0.65
5/14/13,#4 HILLSBORO CANAL SE GROWERS,4.0,23.5,,4.5,0.315,652.0,1.51,0.036,2.7
2/19/07,#4 HILLSBORO CANAL SE GROWERS,4.0,3.3449999999999998,,5.745,0.385,781.5,1.6549999999999998,0.024,1.1
6/22/09,#4 HILLSBORO CANAL SE GROWERS,4.0,11.415,,2.855,0.315,655.0,1.74,0.047,1.9
12/8/20,#4 HILLSBORO CANAL SE GROWERS,4.0,4.06,,3.69,0.35,720.0,1.383,0.018,1.1
10/26/09,#4 HILLSBORO CANAL SE GROWERS,4.0,5.09,,2.38,0.35,718.0,1.565,0.012799999999999999,1.1
11/17/15,#4 HILLSBORO CANAL SE GROWERS,4.0,6.12,,2.98,0.37,760.0,1.8,0.046,2.9
12/6/16,#4 HILLSBORO CANAL SE GROWERS,4.0,1.6,,7.51,0.37,755.0,1.2,0.013,0.5
11/16/21,#4 HILLSBORO CANAL SE GROWERS,4.0,2.73,,2.63,0.63,1270.0,2.11,0.01,1.2
