Location,Sample Date,Chlorophyll A,Dissolved Oxygen,Salinity,Specific Conductance,Total Nitrogen,Total Phosphorus,Turbidity
#10 MIDDLE RIVER E SUNRISE,2013-02-28,1.41,6.48,30.200000000000003,46050.0,0.34650000000000003,0.051000000000000004,0.9
#10 MIDDLE RIVER E SUNRISE,2013-08-31,4.98,5.6850000000000005,13.799999999999999,22894.0,0.7675000000000001,0.043,1.05
#10 MIDDLE RIVER E SUNRISE,2014-02-28,4.015000000000001,5.91,17.66,28348.0,0.882,0.045,0.875
#10 MIDDLE RIVER E SUNRISE,2014-08-31,4.93,6.13,19.1,30776.0,0.882,0.045,0.95
#10 MIDDLE RIVER E SUNRISE,2015-02-28,2.41,5.39,18.4,29575.0,0.882,0.045,0.95
#10 MIDDLE RIVER E SUNRISE,2015-08-31,2.73,5.32,27.733333333333334,43200.0,0.402,0.044,0.9500000000000001
#10 MIDDLE RIVER E SUNRISE,2016-02-29,1.27,5.34,20.1,32100.0,0.697,0.102,0.9
#10 MIDDLE RIVER E SUNRISE,2016-08-31,8.263333333333334,6.116666666666667,18.133333333333336,29366.666666666668,0.8565,0.08566666666666667,0.8833333333333333
#10 MIDDLE RIVER E SUNRISE,2017-02-28,2.09,5.75,27.9,43300.0,0.8565,0.08566666666666667,0.85
#10 MIDDLE RIVER E SUNRISE,2017-08-31,4.57,4.3533333333333335,24.0,38000.0,0.8565,0.017,1.4666666666666668
#10 MIDDLE RIVER E SUNRISE,2018-02-28,2.25,5.96,27.5,42900.0,0.8565,0.017,1.2
#10 MIDDLE RIVER E SUNRISE,2018-08-31,8.355,5.335,10.190000000000001,16300.0,0.631,0.052500000000000005,1.35
#10 MIDDLE RIVER E SUNRISE,2019-02-28,1.51,4.95,27.8,43100.0,0.631,0.174,1.1
#10 MIDDLE RIVER E SUNRISE,2019-08-31,2.55,6.095000000000001,27.1,42350.0,0.40225,0.094,1.1
#10 MIDDLE RIVER E SUNRISE,2020-02-29,2.7266666666666666,4.7,21.866666666666664,35800.0,0.6051000000000001,0.25233333333333335,1.1833333333333333
#10 MIDDLE RIVER E SUNRISE,2020-08-31,3.41,5.38,2.5,4760.0,0.896,0.046,4.8
#10 MIDDLE RIVER E SUNRISE,2021-02-28,1.7000000000000002,5.246666666666667,16.066666666666666,26066.666666666668,0.7281666666666666,0.05366666666666667,1.0166666666666668
#10 MIDDLE RIVER E SUNRISE,2021-08-31,3.08,5.246666666666667,16.066666666666666,26066.666666666668,0.383,0.151,1.175
#10 MIDDLE RIVER E SUNRISE,2022-02-28,1.35,5.35,21.1,33700.0,0.544,0.073,0.8
#11 MIDDLE RIVER NW 21ST AVE,2006-02-28,18.2,9.61,0.33,678.0,1.01,0.028,1.7
#11 MIDDLE RIVER NW 21ST AVE,2006-08-31,12.6025,7.095,1.8975,3547.75,1.13525,0.055499999999999994,1.75
#11 MIDDLE RIVER NW 21ST AVE,2007-02-28,9.015,6.545,3.5725,6515.0,1.1925,0.0655,1.3
#11 MIDDLE RIVER NW 21ST AVE,2007-08-31,12.555,5.282500000000001,9.182500000000001,15030.0,1.16975,0.07375,2.1
#11 MIDDLE RIVER NW 21ST AVE,2008-02-29,12.25,5.44,1.8825,3509.25,1.4849999999999999,0.0555,1.25
#11 MIDDLE RIVER NW 21ST AVE,2008-08-31,20.1725,4.745,4.817499999999999,8329.5,1.485,0.06925,1.7999999999999998
#11 MIDDLE RIVER NW 21ST AVE,2009-02-28,20.1725,4.745,4.817499999999999,8329.5,1.485,0.06925,1.7999999999999998
#11 MIDDLE RIVER NW 21ST AVE,2009-08-31,4.901666666666666,4.791666666666667,4.873333333333333,8116.333333333333,0.9860000000000001,0.0128,1.1666666666666667
#11 MIDDLE RIVER NW 21ST AVE,2010-02-28,3.715,4.9825,1.195,2282.0,0.96875,0.021550000000000003,1.0
#11 MIDDLE RIVER NW 21ST AVE,2010-08-31,6.4725,5.845,0.26,537.75,0.85375,0.01855,1.15
#11 MIDDLE RIVER NW 21ST AVE,2011-02-28,3.19,5.8825,3.4125,6023.75,0.982,0.028499999999999998,0.9
#11 MIDDLE RIVER NW 21ST AVE,2011-08-31,11.4475,7.1425,10.9,18525.0,0.6355000000000001,0.108,1.6
#11 MIDDLE RIVER NW 21ST AVE,2012-02-29,4.2825,5.18,2.8649999999999998,5095.25,0.9512499999999999,0.025750000000000002,1.05
#11 MIDDLE RIVER NW 21ST AVE,2012-08-31,8.12,6.195,0.495,997.5,1.0550000000000002,0.0285,1.75
#11 MIDDLE RIVER NW 21ST AVE,2013-02-28,7.317500000000001,4.9625,9.765,16625.0,0.6675,0.06025,1.0
#11 MIDDLE RIVER NW 21ST AVE,2013-08-31,8.094999999999999,4.449999999999999,0.305,631.0,1.3315000000000001,0.0365,3.0
#11 MIDDLE RIVER NW 21ST AVE,2014-02-28,2.645,4.92,0.28,588.0,1.294,0.016,1.275
#11 MIDDLE RIVER NW 21ST AVE,2014-08-31,9.969999999999999,5.37,0.395,808.5,1.294,0.016,2.75
#11 MIDDLE RIVER NW 21ST AVE,2015-02-28,4.94,3.86,0.3,611.0,1.294,0.016,1.1
#11 MIDDLE RIVER NW 21ST AVE,2015-08-31,23.996666666666666,6.739999999999999,6.063333333333333,10636.666666666666,0.82,0.14,2.2666666666666666
#11 MIDDLE RIVER NW 21ST AVE,2016-02-29,2.71,5.58,0.4,861.0,1.71,0.019,1.5
#11 MIDDLE RIVER NW 21ST AVE,2016-08-31,8.813333333333334,4.926666666666667,2.23,3994.0,1.158,0.057333333333333326,1.6333333333333335
#11 MIDDLE RIVER NW 21ST AVE,2017-02-28,2.54,3.64,4.28,7730.0,0.714,0.048,0.85
#11 MIDDLE RIVER NW 21ST AVE,2017-08-31,11.89,6.1499999999999995,7.476666666666667,12639.333333333334,1.684,0.08449999999999999,1.8
#11 MIDDLE RIVER NW 21ST AVE,2018-02-28,25.4,6.31,2.78,5130.0,1.684,0.08449999999999999,3.8
#11 MIDDLE RIVER NW 21ST AVE,2018-08-31,10.524999999999999,3.7649999999999997,0.265,555.5,1.159,0.0225,1.75
#11 MIDDLE RIVER NW 21ST AVE,2019-02-28,39.8,5.59,7.05,12400.0,1.159,0.06,1.7
#11 MIDDLE RIVER NW 21ST AVE,2019-08-31,19.823333333333334,6.31,1.49,2842.0,1.0125666666666666,0.050333333333333334,1.8999999999999997
#11 MIDDLE RIVER NW 21ST AVE,2020-02-29,8.77,3.2750000000000004,2.605,4738.5,0.94235,0.0665,1.2
#11 MIDDLE RIVER NW 21ST AVE,2020-08-31,10.6,5.5,0.21,436.0,0.943,0.029,2.0
#11 MIDDLE RIVER NW 21ST AVE,2021-02-28,6.26,3.92,0.235,413.0,1.01155,0.025,1.85
#11 MIDDLE RIVER NW 21ST AVE,2021-08-31,14.093333333333334,6.55,0.44,901.0,0.7366666666666667,0.057,1.4333333333333333
#11 MIDDLE RIVER NW 21ST AVE,2022-02-28,3.06,5.05,0.23,479.0,1.07,0.012,1.8
#110 POMPANO CANAL AT DIXIE AN,2006-02-28,13.0,7.75,0.27,558.0,0.746,0.029,1.8
#110 POMPANO CANAL AT DIXIE AN,2006-08-31,26.9,4.74,0.22,459.0,0.8740000000000001,0.064,2.4
#110 POMPANO CANAL AT DIXIE AN,2007-02-28,13.350000000000001,7.605,0.22999999999999998,479.0,0.9284999999999999,0.0405,2.6
#110 POMPANO CANAL AT DIXIE AN,2007-08-31,16.5,6.43,0.235,488.5,0.6845,0.047,3.1
#110 POMPANO CANAL AT DIXIE AN,2008-02-29,16.8,6.125,0.24,499.0,1.27,0.075,3.95
#110 POMPANO CANAL AT DIXIE AN,2008-08-31,20.1,4.67,0.21000000000000002,444.0,0.7135,0.071,12.35
#110 POMPANO CANAL AT DIXIE AN,2009-02-28,20.1,4.67,0.21000000000000002,444.0,0.7135,0.071,12.35
#110 POMPANO CANAL AT DIXIE AN,2009-08-31,15.186666666666667,4.930000000000001,0.29333333333333333,606.6666666666666,1.3233333333333335,0.1495,2.1999999999999997
#110 POMPANO CANAL AT DIXIE AN,2010-02-28,9.845,4.52,0.24,496.0,1.135,0.10750000000000001,2.45
#110 POMPANO CANAL AT DIXIE AN,2010-08-31,5.625,2.775,0.25,517.5,1.22,0.1,1.9
#110 POMPANO CANAL AT DIXIE AN,2011-02-28,2.0250000000000004,6.449999999999999,0.21,439.5,1.1,0.053000000000000005,4.2
#110 POMPANO CANAL AT DIXIE AN,2011-08-31,1.74,9.120000000000001,0.2,419.5,1.2175,0.06899999999999999,0.55
#110 POMPANO CANAL AT DIXIE AN,2012-02-29,10.315,5.925,0.21500000000000002,457.0,1.1,0.048,1.95
#110 POMPANO CANAL AT DIXIE AN,2012-08-31,8.105,4.32,0.2,415.5,0.9595,0.0645,1.2999999999999998
#110 POMPANO CANAL AT DIXIE AN,2013-02-28,2.26,5.98,0.25,517.5,1.35,0.043,0.925
#110 POMPANO CANAL AT DIXIE AN,2013-08-31,10.04,5.245,0.225,465.5,1.022,0.098,2.0
#110 POMPANO CANAL AT DIXIE AN,2014-02-28,28.0,5.75,0.275,568.5,0.927,0.066,1.9
#110 POMPANO CANAL AT DIXIE AN,2014-08-31,7.94,4.84,0.295,615.0,0.927,0.066,1.35
#110 POMPANO CANAL AT DIXIE AN,2015-02-28,2.56,2.5,0.23,484.0,0.927,0.066,1.2
#110 POMPANO CANAL AT DIXIE AN,2015-08-31,4.666666666666667,6.706666666666667,0.3333333333333333,683.3333333333334,1.409,0.101,1.0166666666666668
#110 POMPANO CANAL AT DIXIE AN,2016-02-29,1.34,4.335,0.20500000000000002,421.0,1.025,0.0695,4.2
#110 POMPANO CANAL AT DIXIE AN,2016-08-31,6.79,4.383333333333334,0.26333333333333336,545.6666666666666,1.4515,0.066,1.0333333333333334
#110 POMPANO CANAL AT DIXIE AN,2017-02-28,6.75,4.79,0.31,636.0,1.1,0.057,1.2
#110 POMPANO CANAL AT DIXIE AN,2017-08-31,4.39,6.203333333333333,0.25333333333333335,529.3333333333334,1.1,0.0635,1.3666666666666665
#110 POMPANO CANAL AT DIXIE AN,2018-02-28,12.8,6.41,0.29,592.0,1.1,0.0635,2.6
#110 POMPANO CANAL AT DIXIE AN,2018-08-31,11.115,4.145,0.24,467.0,0.874,0.0895,1.85
#110 POMPANO CANAL AT DIXIE AN,2019-02-28,5.86,3.77,0.27,554.0,0.874,0.05,2.0
#110 POMPANO CANAL AT DIXIE AN,2019-08-31,5.39,5.975,0.275,565.5,0.54605,0.040999999999999995,2.0
#110 POMPANO CANAL AT DIXIE AN,2020-02-29,17.540000000000003,6.163333333333334,0.24,495.3333333333333,0.8468,0.06233333333333333,2.1
#110 POMPANO CANAL AT DIXIE AN,2020-08-31,8.92,2.89,0.18,490.0,0.786,0.12,0.0
#110 POMPANO CANAL AT DIXIE AN,2021-02-28,9.846666666666666,4.866666666666666,0.21333333333333335,449.3333333333333,0.8493333333333334,0.06933333333333333,2.3666666666666667
#110 POMPANO CANAL AT DIXIE AN,2021-08-31,9.275,5.0,0.24,495.0,1.05,0.058499999999999996,1.65
#110 POMPANO CANAL AT DIXIE AN,2022-02-28,8.61,3.66,0.22,453.0,0.787,0.075,1.6
#111 S. FORK MID R. @ N.E. 15,2006-02-28,12.7,8.56,7.81,13900.0,1.01,0.031,1.6
#111 S. FORK MID R. @ N.E. 15,2006-08-31,40.9,7.195,8.52,14930.0,0.977,0.06,1.65
#111 S. FORK MID R. @ N.E. 15,2007-02-28,2.17,6.0649999999999995,15.55,25650.0,0.9145,0.058,1.025
#111 S. FORK MID R. @ N.E. 15,2007-08-31,8.97,4.975,17.85,28850.0,1.097,0.07,1.225
#111 S. FORK MID R. @ N.E. 15,2008-02-29,3.425,4.76,10.91,18700.0,1.28,0.071,1.2999999999999998
#111 S. FORK MID R. @ N.E. 15,2008-08-31,10.68,4.865,13.16,21590.0,1.158,0.05450000000000001,1.4500000000000002
#111 S. FORK MID R. @ N.E. 15,2009-02-28,10.68,4.865,13.16,21590.0,1.158,0.05450000000000001,1.4500000000000002
#111 S. FORK MID R. @ N.E. 15,2009-08-31,11.270000000000001,5.723333333333334,9.893333333333333,16203.333333333334,0.826,0.045,1.6666666666666667
#111 S. FORK MID R. @ N.E. 15,2010-02-28,3.665,5.36,12.120000000000001,20400.0,0.7855,0.0465,1.1749999999999998
#111 S. FORK MID R. @ N.E. 15,2010-08-31,7.265000000000001,5.215,5.153,9270.0,0.8380000000000001,0.043,1.9500000000000002
#111 S. FORK MID R. @ N.E. 15,2011-02-28,2.5700000000000003,5.505,13.84,23050.0,0.8705,0.0525,0.925
#111 S. FORK MID R. @ N.E. 15,2011-08-31,9.055,6.63,23.450000000000003,37100.0,0.421,0.0685,1.25
#111 S. FORK MID R. @ N.E. 15,2012-02-29,4.23,5.165,11.6,19125.0,0.9380000000000001,0.056,1.05
#111 S. FORK MID R. @ N.E. 15,2012-08-31,11.745000000000001,5.275,3.568,6860.0,1.0750000000000002,0.064,2.15
#111 S. FORK MID R. @ N.E. 15,2013-02-28,2.65,6.055,22.549999999999997,35400.0,0.5309999999999999,0.062,1.2
#111 S. FORK MID R. @ N.E. 15,2013-08-31,20.174999999999997,4.89,1.82,3505.0,1.3215,0.057,1.9
#111 S. FORK MID R. @ N.E. 15,2014-02-28,4.12,4.695,11.585,11545.5,1.012,0.045,1.05
#111 S. FORK MID R. @ N.E. 15,2014-08-31,10.04,5.015000000000001,8.71,14348.5,1.012,0.045,1.65
#111 S. FORK MID R. @ N.E. 15,2015-02-28,2.58,4.14,6.71,11872.0,1.012,0.045,1.3
#111 S. FORK MID R. @ N.E. 15,2015-08-31,9.366666666666667,4.966666666666667,19.866666666666664,32066.666666666668,0.541,0.037,1.5666666666666667
#111 S. FORK MID R. @ N.E. 15,2016-02-29,1.63,4.26,5.935,10435.0,0.976,0.07450000000000001,1.4
#111 S. FORK MID R. @ N.E. 15,2016-08-31,5.203333333333333,5.97,9.553333333333333,16086.666666666666,0.9730000000000001,0.055999999999999994,1.4000000000000001
#111 S. FORK MID R. @ N.E. 15,2017-02-28,1.83,4.0,19.2,31100.0,0.66,0.038,0.75
#111 S. FORK MID R. @ N.E. 15,2017-08-31,9.286666666666667,5.303333333333334,16.623333333333335,26540.0,0.66,0.028333333333333335,1.9666666666666666
#111 S. FORK MID R. @ N.E. 15,2018-02-28,9.93,5.5,17.5,28700.0,0.66,0.028333333333333335,2.5
#111 S. FORK MID R. @ N.E. 15,2018-08-31,15.85,4.29,2.17,4135.0,0.942,0.0675,1.9000000000000001
#111 S. FORK MID R. @ N.E. 15,2019-02-28,6.96,4.45,18.5,30000.0,0.942,0.109,1.3
#111 S. FORK MID R. @ N.E. 15,2019-08-31,6.116666666666667,4.55,14.333333333333334,23226.666666666668,0.5898,0.066,1.4333333333333333
#111 S. FORK MID R. @ N.E. 15,2020-02-29,2.145,3.81,15.2,24850.0,0.7583,0.2215,1.15
#111 S. FORK MID R. @ N.E. 15,2020-08-31,6.8,4.03,2.27,4330.0,1.03,0.061,3.9
#111 S. FORK MID R. @ N.E. 15,2021-02-28,5.96,4.15,0.9950000000000001,2036.0,1.0375999999999999,0.0475,1.75
#111 S. FORK MID R. @ N.E. 15,2021-08-31,7.946666666666666,5.645,13.100000000000001,21950.0,0.5343333333333333,0.08433333333333333,1.2333333333333334
#111 S. FORK MID R. @ N.E. 15,2022-02-28,1.65,4.28,6.13,11000.0,0.906,0.045,1.4
#112 N. FORK MID R. @ N.E. 16,2006-02-28,17.3,9.54,6.0,11000.0,1.11,0.04,1.8
#112 N. FORK MID R. @ N.E. 16,2006-08-31,8.11,5.615,7.3100000000000005,12960.0,1.1,0.08399999999999999,1.65
#112 N. FORK MID R. @ N.E. 16,2007-02-28,2.135,6.1899999999999995,14.059999999999999,23400.0,0.9355,0.0635,1.0
#112 N. FORK MID R. @ N.E. 16,2007-08-31,7.825,4.95,15.36,25150.0,1.275,0.087,1.5
#112 N. FORK MID R. @ N.E. 16,2008-02-29,2.585,4.995,10.9,18700.0,1.43,0.091,1.15
#112 N. FORK MID R. @ N.E. 16,2008-08-31,4.195,4.465,10.265,17390.0,1.2894999999999999,0.059,1.35
#112 N. FORK MID R. @ N.E. 16,2009-02-28,4.195,4.465,10.265,17390.0,1.2894999999999999,0.059,1.35
#112 N. FORK MID R. @ N.E. 16,2009-08-31,6.0299999999999985,5.413333333333334,9.059166666666666,14719.0,0.8943333333333333,0.041,1.4333333333333333
#112 N. FORK MID R. @ N.E. 16,2010-02-28,2.125,5.345000000000001,13.08,21700.0,0.7869999999999999,0.0375,1.05
#112 N. FORK MID R. @ N.E. 16,2010-08-31,5.35,4.995,4.332450000000001,7969.5,0.761,0.041499999999999995,1.45
#112 N. FORK MID R. @ N.E. 16,2011-02-28,2.76,5.494999999999999,10.795,18450.0,0.891,0.054,1.025
#112 N. FORK MID R. @ N.E. 16,2011-08-31,5.37,6.0,21.65,34500.0,0.3805,0.068,0.925
#112 N. FORK MID R. @ N.E. 16,2012-02-29,4.35,5.17,11.44,18850.0,0.922,0.057499999999999996,1.1
#112 N. FORK MID R. @ N.E. 16,2012-08-31,9.600000000000001,5.055,3.7485999999999997,7044.0,1.045,0.0645,1.8
#112 N. FORK MID R. @ N.E. 16,2013-02-28,2.145,5.789999999999999,22.75,35550.0,0.49,0.0615,1.05
#112 N. FORK MID R. @ N.E. 16,2013-08-31,9.155000000000001,4.295,1.5750000000000002,2890.0,1.396,0.055999999999999994,1.9
#112 N. FORK MID R. @ N.E. 16,2014-02-28,3.4299999999999997,4.745,6.26,11141.5,1.023,0.037,1.15
#112 N. FORK MID R. @ N.E. 16,2014-08-31,5.824999999999999,4.845000000000001,8.944999999999999,14630.0,1.023,0.037,1.5
#112 N. FORK MID R. @ N.E. 16,2015-02-28,1.97,4.32,5.51,10041.0,1.023,0.037,1.1
#112 N. FORK MID R. @ N.E. 16,2015-08-31,5.69,5.21,18.2,29500.0,0.583,0.086,1.3666666666666665
#112 N. FORK MID R. @ N.E. 16,2016-02-29,2.14,4.33,4.045,7105.0,1.1185,0.067,1.1
#112 N. FORK MID R. @ N.E. 16,2016-08-31,5.976666666666667,5.5566666666666675,9.33,15693.333333333334,0.9435,0.05633333333333334,1.5999999999999999
#112 N. FORK MID R. @ N.E. 16,2017-02-28,1.93,3.81,19.8,31600.0,0.643,0.026,1.0
#112 N. FORK MID R. @ N.E. 16,2017-08-31,3.9433333333333334,4.863333333333333,15.546666666666667,25233.333333333332,0.643,0.032,0.9500000000000001
#112 N. FORK MID R. @ N.E. 16,2018-02-28,9.93,5.61,10.7,18100.0,0.643,0.032,3.3
#112 N. FORK MID R. @ N.E. 16,2018-08-31,9.08,3.72,1.08,2140.0,0.643,0.038,1.2
#112 N. FORK MID R. @ N.E. 16,2019-02-28,11.7,5.68,14.5,24100.0,0.724,0.094,1.9
#112 N. FORK MID R. @ N.E. 16,2019-08-31,5.743333333333333,4.663333333333333,12.08,21233.333333333332,0.6962000000000002,0.06033333333333333,1.4666666666666668
#112 N. FORK MID R. @ N.E. 16,2020-02-29,3.0700000000000003,4.165,11.440000000000001,18880.0,0.8027,0.215,0.975
#112 N. FORK MID R. @ N.E. 16,2020-08-31,8.57,5.1,0.77,1550.0,1.0,0.053,3.4
#112 N. FORK MID R. @ N.E. 16,2021-02-28,2.525,4.484999999999999,0.46499999999999997,920.5,1.05515,0.042,1.65
#112 N. FORK MID R. @ N.E. 16,2021-08-31,4.3566666666666665,5.4350000000000005,12.95,21150.0,0.545,0.08933333333333333,0.9
#112 N. FORK MID R. @ N.E. 16,2022-02-28,1.03,4.6,12.4,20900.0,0.787,0.058,1.2
#12 MIDDLE RIVER NW 31ST AVE,2006-02-28,1.275,7.8100000000000005,0.3,621.0,1.355,0.00825,0.55
#12 MIDDLE RIVER NW 31ST AVE,2006-08-31,1.545,5.6525,0.2775,578.5,0.88625,0.0135,0.95
#12 MIDDLE RIVER NW 31ST AVE,2007-02-28,1.87375,7.685,0.315,638.0,1.31,0.012,6.25
#12 MIDDLE RIVER NW 31ST AVE,2007-08-31,1.945,6.800000000000001,0.3,626.0,1.25,0.0125,1.225
#12 MIDDLE RIVER NW 31ST AVE,2008-02-29,1.295,7.085,0.305,634.0,1.56,0.0045,1.025
#12 MIDDLE RIVER NW 31ST AVE,2008-08-31,1.945,6.42,0.31,643.5,1.4849999999999999,0.017,3.35
#12 MIDDLE RIVER NW 31ST AVE,2009-02-28,1.945,6.42,0.31,643.5,1.4849999999999999,0.017,3.35
#12 MIDDLE RIVER NW 31ST AVE,2009-08-31,1.4066666666666665,5.176666666666667,0.26333333333333336,555.0,1.18,0.0118,0.75
#12 MIDDLE RIVER NW 31ST AVE,2010-02-28,1.335,6.32,0.275,578.0,1.26,0.0076,0.65
#12 MIDDLE RIVER NW 31ST AVE,2010-08-31,2.03,5.79,0.26,540.0,0.989,0.0076,0.9
#12 MIDDLE RIVER NW 31ST AVE,2011-02-28,1.3399999999999999,6.539999999999999,0.28500000000000003,587.5,1.33,0.0115,1.0
#12 MIDDLE RIVER NW 31ST AVE,2011-08-31,4.63,6.6850000000000005,0.28500000000000003,596.5,1.0899999999999999,0.020999999999999998,0.45
#12 MIDDLE RIVER NW 31ST AVE,2012-02-29,2.4749999999999996,6.705,0.29000000000000004,605.0,1.565,0.018,2.35
#12 MIDDLE RIVER NW 31ST AVE,2012-08-31,6.855,5.865,0.265,551.0,1.2850000000000001,0.022,1.6
#12 MIDDLE RIVER NW 31ST AVE,2013-02-28,1.635,7.335,0.275,565.5,1.37,0.0235,0.625
#12 MIDDLE RIVER NW 31ST AVE,2013-08-31,6.57,4.720000000000001,0.27,560.0,1.2955,0.0215,3.25
#12 MIDDLE RIVER NW 31ST AVE,2014-02-28,2.165,4.71,0.28500000000000003,581.5,1.437,0.014,1.25
#12 MIDDLE RIVER NW 31ST AVE,2014-08-31,6.785,5.824999999999999,0.28,576.0,1.437,0.014,3.55
